Column,Description,Type,Anonymized
jid,The id assigned to the job when it is submitted,string,true
usr,The username of the user submitting the job,string,true
jnam,The name of the job,string,true
cnumr,Number of cores requested for the job,int,false
cnumat,Number of cores allocated to the job,int,false
cnumut,Number of cores used by the job,int,false
nnumr,Number of nodes requested for the job,int,false
adt,Arrival datetime (submission time),datetime,false
qdt,Time of insertion in the job queue,datetime,false
schedsdt,Time of completed scheduling choice,datetime,false
deldt,Time of job deletion,datetime,false
ec,Job exit code,int,false
elpl,Elapsed time limit (the time limit set to the job duration),float,false
sdt,Start datetime,datetime,false
edt,End datetime,datetime,false
nnuma,Number of nodes allocated to the job,int,false
idle_time_ave,Average idle time of the job,float,false
nnumu,Number of nodes used by the job,int,false
perf1,Number of execution cycles,float,false
perf2,FP_FIXED_OPS_SPEC,float,false
perf3,FP_SCALE_OPS_SPEC,float,false
perf4,BUS_READ_TOTAL_MEM,float,false
perf5,BUS_WRITE_TOTAL_MEM,float,false
perf6,Number of sleep cycles,float,false
mszl,Memory size limit for the job,float,false
pri,Priority,int,false
econ,Energy consumption,float,false
avgpcon,Average node power consuption,float,false
minpcon,Minimum node power consuption,float,false
maxpcon,Maximum node power consuption,float,false
msza,Memory size allocated,float,false
mmszu,Memory size used,float,false
uctmut,User cpu time total use,float,false
sctmut,System cpu time total use,float,false
usctmut,Total cpu time use,float,false
jobenv_req,Job environment requested,string,true
freq_req,Node frequency requested,int,false
freq_alloc,Node frequency allocated,int,false
flops,Number of floating point operations per second,float,false
mbwidth,Memory bandwidth,float,false
opint,Operational intensity,float,false
pclass,Performance class (either compute-bound or memory-bound),string,false
embedding,Sensitive data encoding with Sentence-Bert,Array[float],false
exit state,Exit state of the job execution (either completed or failed),string,false
duration,Duration of the job execution in seconds,float,false
